[2020-12-19 09:55:15] [info]  [  976] Commons Daemon procrun (1.1.0.0 64-bit) started
[2020-12-19 09:55:15] [info]  [  976] Running 'Tomcat8' Service...
[2020-12-19 09:55:15] [info]  [ 2232] Starting service...
[2020-12-19 09:55:21] [info]  [ 2232] Service started in 5048 ms.
[2020-12-19 10:23:01] [info]  [ 6044] Console SHUTDOWN event signaled
[2020-12-19 10:23:01] [info]  [ 6044] Stopping service...
[2020-12-19 10:23:03] [info]  [ 6044] Service stop thread completed.
[2020-12-19 10:23:03] [info]  [  976] Run service finished.
[2020-12-19 10:23:04] [info]  [  976] Commons Daemon procrun finished
[2020-12-19 10:23:52] [info]  [ 2100] Commons Daemon procrun (1.1.0.0 64-bit) started
[2020-12-19 10:23:52] [info]  [ 2100] Running 'Tomcat8' Service...
[2020-12-19 10:23:53] [info]  [ 2264] Starting service...
[2020-12-19 10:23:55] [info]  [ 2264] Service started in 2209 ms.
[2020-12-19 10:28:53] [info]  [ 5340] Console SHUTDOWN event signaled
[2020-12-19 10:28:53] [info]  [ 5340] Stopping service...
[2020-12-19 10:28:55] [info]  [ 5340] Service stop thread completed.
[2020-12-19 10:28:55] [info]  [ 2100] Run service finished.
[2020-12-19 10:28:55] [info]  [ 2100] Commons Daemon procrun finished
[2020-12-19 10:29:24] [info]  [ 2032] Commons Daemon procrun (1.1.0.0 64-bit) started
[2020-12-19 10:29:24] [info]  [ 2032] Running 'Tomcat8' Service...
[2020-12-19 10:29:25] [info]  [ 2284] Starting service...
[2020-12-19 10:29:27] [info]  [ 2284] Service started in 1967 ms.
[2020-12-19 16:47:17] [info]  [ 2024] Commons Daemon procrun (1.1.0.0 64-bit) started
[2020-12-19 16:47:17] [info]  [ 2024] Running 'Tomcat8' Service...
[2020-12-19 16:47:17] [info]  [ 2248] Starting service...
[2020-12-19 16:47:23] [info]  [ 2248] Service started in 5328 ms.
